socialmedia,age,mobile,season,newcustomer,adcost,adrevenue
YouTube,18,computer,summer,no,11.97,55.82
Instagram,31,mobile,fall,no,5.34,9.4
Facebook,24,mobile,spring,yes,6.65,5.22
Instagram,29,mobile,summer,yes,5.43,7.66
YouTube,32,computer,summer,no,11.82,4.61
Facebook,35,mobile,fall,no,6.61,1.46
TikTok,21,mobile,summer,no,0.21,6.52
TikTok,16,mobile,fall,no,7.75,13.38
TikTok,18,mobile,spring,yes,7.12,4.69
YouTube,26,computer,spring,yes,13.34,10.17
YouTube,21,mobile,spring,no,14.93,17.9
Instagram,25,mobile,summer,yes,7.05,1.92
Instagram,31,mobile,spring,no,7.39,19.75
Facebook,20,computer,winter,no,4.38,5.39
YouTube,30,computer,fall,yes,11.12,45.3
YouTube,34,computer,fall,no,11.31,65.5
TikTok,17,mobile,summer,yes,0.8,0.8
TikTok,15,mobile,fall,no,0.68,1.29
YouTube,35,computer,fall,yes,12.96,29.14
TikTok,17,mobile,summer,no,1.99,1.88
TikTok,19,mobile,winter,yes,6.97,14.64
Facebook,25,mobile,summer,no,4.52,8.9
Instagram,30,computer,fall,yes,6.18,7.95
TikTok,17,mobile,winter,no,3.24,1.8
TikTok,21,mobile,spring,no,6.74,11.26
TikTok,27,mobile,winter,yes,7.12,5.19
Facebook,22,mobile,summer,no,5.88,7.4
Instagram,30,mobile,winter,yes,6.83,3.01
Instagram,25,mobile,spring,no,3.02,0.55
YouTube,48,computer,fall,no,12.4,52.73
TikTok,22,mobile,fall,no,3.85,16.06
TikTok,15,mobile,summer,no,4.35,19.55
YouTube,40,computer,fall,yes,10.88,15.52
YouTube,29,computer,spring,no,7.26,13.01
YouTube,17,computer,summer,no,9.5,3.14
YouTube,42,computer,spring,no,10.21,56.18
YouTube,37,computer,spring,no,14.81,64.23
YouTube,37,computer,summer,yes,14.49,25.5
Instagram,23,mobile,winter,no,6.96,2.13
YouTube,26,mobile,spring,yes,13.12,17.24
Instagram,28,mobile,spring,no,6.39,20.69
TikTok,24,computer,summer,yes,5.3,6.57
YouTube,20,computer,summer,yes,5.87,11.27
Instagram,22,mobile,fall,no,6.82,29.57
YouTube,47,computer,spring,no,8.59,69.48
YouTube,32,mobile,spring,yes,14.6,19.32
Instagram,19,mobile,winter,yes,6.92,20.34
TikTok,23,mobile,summer,yes,3.74,8.53
Facebook,24,mobile,fall,no,6.26,18.9
YouTube,33,computer,spring,yes,5.9,33.05
TikTok,20,mobile,summer,yes,7.64,3.64
TikTok,15,mobile,fall,no,7.81,9.73
Facebook,35,computer,fall,no,5.58,3.98
YouTube,35,computer,spring,no,9.79,59.21
TikTok,18,mobile,fall,no,0.19,1.53
Instagram,26,mobile,spring,no,4.71,5.85
Instagram,28,mobile,summer,no,3.13,4.57
TikTok,18,computer,fall,no,2.72,1.38
TikTok,18,mobile,winter,yes,4.3,7.06
TikTok,19,mobile,winter,yes,6.46,6.28
TikTok,17,mobile,fall,yes,1.06,3.58
TikTok,19,mobile,winter,yes,1.68,9.96
YouTube,41,mobile,summer,no,9.96,4.99
TikTok,13,mobile,summer,no,5.27,22.55
TikTok,22,mobile,summer,yes,5.19,1.55
Instagram,26,mobile,fall,no,3.15,7.7
YouTube,29,computer,winter,no,13.65,14.86
YouTube,51,computer,spring,no,10.55,11.44
TikTok,25,mobile,fall,yes,3.94,13.73
TikTok,16,computer,winter,yes,7.92,3.89
TikTok,22,mobile,winter,yes,1.79,4.09
Instagram,30,mobile,winter,no,4.11,3.96
TikTok,15,mobile,summer,yes,1.52,1.44
Instagram,26,mobile,summer,no,6.12,3.12
Twitter,38,mobile,fall,no,3.95,12.57
TikTok,11,mobile,winter,yes,3.88,17.23
TikTok,25,mobile,fall,no,0.45,5.66
TikTok,17,mobile,spring,no,2.48,15.39
TikTok,19,mobile,winter,yes,1.37,5.76
Facebook,31,computer,fall,no,3.21,3.46
TikTok,21,computer,fall,yes,3.02,0.83
YouTube,14,mobile,winter,no,9.67,13.19
Facebook,31,mobile,fall,no,3.17,3.39
TikTok,16,mobile,summer,yes,3.71,2.85
Instagram,28,computer,winter,yes,8.86,37.63
Twitter,30,mobile,fall,no,3.19,8.19
Instagram,23,mobile,fall,yes,5.81,6.0
TikTok,11,mobile,winter,no,2.41,15.31
Instagram,29,mobile,winter,yes,3.53,4.11
TikTok,18,mobile,fall,yes,0.72,1.01
Facebook,32,computer,summer,yes,4.9,3.93
YouTube,20,computer,spring,no,5.85,5.75
YouTube,47,computer,winter,yes,10.55,11.91
Facebook,47,mobile,winter,no,6.56,15.65
YouTube,24,computer,winter,yes,5.09,12.26
Instagram,26,computer,winter,no,3.9,6.47
TikTok,19,mobile,summer,no,7.81,4.37
TikTok,17,mobile,fall,yes,7.43,36.78
Instagram,28,mobile,winter,yes,6.56,2.04
Twitter,25,mobile,winter,yes,1.67,14.62
YouTube,21,computer,fall,no,7.66,27.62
YouTube,48,computer,fall,no,13.87,39.99
Facebook,30,mobile,fall,no,3.52,5.47
YouTube,33,mobile,summer,no,12.48,8.06
YouTube,26,computer,summer,no,10.56,11.87
Facebook,33,mobile,fall,no,4.75,2.61
Facebook,26,mobile,spring,no,5.92,13.66
YouTube,26,mobile,spring,no,13.23,9.98
YouTube,15,mobile,winter,no,6.62,1.52
Instagram,26,computer,summer,yes,3.0,5.18
Twitter,31,computer,spring,no,2.04,2.2
YouTube,26,mobile,fall,no,12.42,12.49
TikTok,18,mobile,fall,yes,0.96,2.8
TikTok,17,computer,spring,no,7.24,5.51
YouTube,28,computer,fall,no,7.6,4.93
TikTok,20,computer,spring,no,7.91,13.82
Instagram,28,mobile,spring,yes,5.85,11.54
TikTok,17,computer,winter,no,4.58,1.28
YouTube,40,computer,spring,no,7.01,28.11
Instagram,22,mobile,spring,no,4.11,2.76
YouTube,39,computer,spring,no,5.25,20.31
Instagram,26,mobile,fall,no,4.32,1.74
Instagram,27,mobile,fall,yes,4.07,5.8
YouTube,36,computer,summer,yes,12.78,84.2
Instagram,34,mobile,spring,yes,7.44,2.85
Twitter,35,computer,winter,yes,1.35,8.65
Instagram,25,mobile,spring,no,8.95,12.98
YouTube,35,mobile,winter,yes,14.87,11.73
YouTube,49,computer,winter,no,11.85,43.72
Facebook,28,mobile,spring,no,2.84,1.01
YouTube,16,computer,spring,no,7.33,7.6
Instagram,20,mobile,summer,no,5.58,5.02
YouTube,47,computer,fall,no,10.15,41.32
Twitter,45,mobile,spring,no,3.0,3.43
YouTube,27,computer,winter,no,6.22,21.73
YouTube,28,computer,spring,yes,14.01,22.43
YouTube,44,mobile,summer,no,8.97,5.51
Twitter,35,computer,spring,no,2.94,15.94
TikTok,18,computer,summer,yes,1.45,5.35
Instagram,19,mobile,summer,yes,8.76,10.96
YouTube,24,mobile,winter,no,6.65,25.67
TikTok,19,mobile,spring,no,0.26,1.83
YouTube,11,computer,winter,no,8.46,21.76
TikTok,21,mobile,fall,no,1.41,3.99
TikTok,19,mobile,spring,no,5.48,21.32
Instagram,25,mobile,fall,no,3.85,4.9
YouTube,36,computer,fall,yes,5.2,5.86
TikTok,15,computer,summer,no,6.05,5.88
TikTok,20,mobile,spring,no,0.8,6.82
Instagram,30,computer,winter,no,5.04,5.6
Instagram,27,computer,winter,yes,7.8,9.09
TikTok,19,computer,winter,yes,6.92,9.44
TikTok,16,mobile,winter,yes,2.49,1.2
TikTok,16,mobile,fall,yes,4.21,10.46
Instagram,30,mobile,fall,no,4.11,6.0
TikTok,16,mobile,winter,no,6.06,17.3
YouTube,43,mobile,summer,no,10.43,42.25
TikTok,24,mobile,spring,yes,1.08,2.28
YouTube,33,computer,fall,no,8.69,3.92
Facebook,24,mobile,summer,no,3.43,5.67
YouTube,34,computer,fall,no,7.88,33.32
Instagram,28,mobile,winter,no,8.98,24.69
TikTok,20,mobile,winter,yes,7.57,7.54
YouTube,45,computer,summer,yes,5.4,4.95
YouTube,27,mobile,spring,yes,6.69,15.75
Instagram,30,mobile,spring,no,3.74,7.34
TikTok,19,mobile,winter,yes,2.09,8.45
YouTube,28,computer,summer,yes,10.97,8.59
Instagram,23,mobile,spring,no,5.25,4.41
Facebook,28,mobile,spring,yes,5.61,12.58
Instagram,28,computer,fall,no,4.8,4.43
TikTok,16,mobile,summer,no,3.67,5.12
Twitter,41,mobile,winter,no,1.72,3.89
YouTube,36,computer,spring,yes,13.59,62.65
Instagram,26,mobile,fall,no,6.83,9.68
TikTok,18,computer,summer,yes,3.82,1.35
YouTube,31,computer,summer,no,5.63,23.95
TikTok,20,mobile,fall,yes,5.47,7.29
TikTok,16,mobile,fall,no,0.15,1.1
Facebook,34,computer,spring,no,5.35,4.62
TikTok,17,mobile,summer,no,2.41,2.12
Instagram,16,mobile,winter,no,3.5,5.13
TikTok,24,mobile,fall,no,6.57,1.54
TikTok,18,mobile,spring,no,2.39,3.32
Facebook,28,mobile,winter,no,2.64,8.72
YouTube,38,computer,fall,no,12.62,21.24
TikTok,21,mobile,spring,no,7.48,48.9
TikTok,14,mobile,fall,yes,4.49,5.57
Instagram,31,mobile,summer,yes,8.94,9.47
Facebook,15,mobile,summer,no,6.89,4.26
YouTube,35,mobile,summer,no,10.23,8.26
YouTube,40,mobile,summer,yes,8.71,23.54
TikTok,19,mobile,fall,no,0.11,2.13
Instagram,24,mobile,winter,yes,3.03,11.55
Facebook,33,mobile,spring,no,5.11,6.23
Facebook,29,mobile,fall,no,2.46,0.75
Facebook,26,mobile,spring,no,4.74,6.51
YouTube,10,mobile,fall,no,10.24,5.34
YouTube,41,computer,summer,yes,6.96,31.01
Instagram,32,mobile,winter,yes,8.95,13.94
TikTok,16,mobile,summer,no,2.93,3.52
TikTok,18,mobile,summer,no,6.46,6.7
TikTok,15,mobile,winter,yes,5.1,3.96
YouTube,28,mobile,spring,no,7.7,18.61
Facebook,30,computer,spring,no,4.94,4.2
TikTok,17,mobile,spring,yes,2.76,10.71
TikTok,16,mobile,fall,yes,3.81,4.68
YouTube,15,mobile,spring,yes,13.69,2.81
YouTube,16,computer,winter,no,13.29,41.67
TikTok,27,mobile,fall,no,5.56,8.96
Facebook,25,mobile,summer,no,4.63,13.03
YouTube,35,computer,fall,no,12.21,10.69
TikTok,15,mobile,winter,no,2.19,6.61
Facebook,26,mobile,fall,no,2.14,12.02
YouTube,38,mobile,fall,yes,12.29,0.35
Facebook,30,mobile,summer,no,5.48,6.55
TikTok,20,mobile,spring,no,1.51,7.38
TikTok,18,mobile,summer,no,5.72,24.87
Instagram,22,mobile,summer,no,5.17,1.9
Facebook,14,mobile,fall,no,2.47,3.57
YouTube,33,computer,winter,no,10.97,64.73
TikTok,20,mobile,fall,no,3.52,16.48
Instagram,21,mobile,winter,yes,4.81,7.37
TikTok,13,mobile,winter,no,4.19,14.58
YouTube,16,computer,fall,no,8.3,15.62
YouTube,27,computer,winter,yes,9.56,2.93
TikTok,18,mobile,summer,no,1.2,3.59
YouTube,20,mobile,winter,no,11.89,29.25
TikTok,22,mobile,winter,yes,5.35,3.05
TikTok,12,mobile,winter,yes,4.49,28.51
Instagram,22,mobile,winter,no,5.92,15.11
TikTok,18,mobile,winter,yes,7.01,3.3
YouTube,18,computer,spring,no,9.41,25.9
TikTok,20,mobile,spring,yes,0.6,3.34
TikTok,15,computer,spring,yes,4.78,10.65
TikTok,20,mobile,summer,no,2.1,11.04
TikTok,24,mobile,fall,no,1.97,4.81
Instagram,27,computer,spring,no,4.87,6.79
Facebook,28,computer,winter,no,5.28,5.54
YouTube,27,computer,spring,no,6.43,2.6
Instagram,21,mobile,fall,no,6.15,18.5
Twitter,35,computer,winter,no,1.92,12.34
TikTok,14,mobile,spring,no,5.16,7.98
Facebook,31,computer,winter,no,2.71,7.95
TikTok,17,mobile,summer,no,2.58,5.37
Instagram,32,computer,spring,yes,5.81,8.72
Instagram,29,mobile,fall,no,7.69,26.8
TikTok,17,mobile,fall,no,3.37,2.29
Instagram,32,mobile,summer,no,4.21,3.48
Facebook,32,mobile,spring,no,4.51,11.18
TikTok,19,mobile,summer,yes,7.54,6.49
Instagram,20,mobile,spring,no,6.44,20.05
YouTube,42,computer,spring,no,8.4,22.85
TikTok,18,mobile,summer,no,1.11,1.17
YouTube,13,mobile,fall,no,5.31,2.97
Instagram,27,mobile,summer,yes,3.52,8.96
Instagram,27,mobile,fall,yes,4.71,22.61
YouTube,38,computer,winter,no,10.68,19.84
Instagram,32,mobile,fall,no,7.09,5.58
TikTok,20,mobile,summer,no,5.79,23.78
TikTok,20,mobile,summer,yes,5.76,2.9
TikTok,21,mobile,summer,no,2.5,8.33
YouTube,29,computer,summer,yes,11.39,17.57
YouTube,31,computer,winter,no,13.75,8.34
YouTube,30,computer,summer,yes,10.7,92.43
TikTok,18,computer,summer,no,6.36,1.95
YouTube,32,computer,spring,no,8.8,26.09
Facebook,28,mobile,summer,no,3.32,4.29
Instagram,30,mobile,fall,no,8.02,7.24
Facebook,47,mobile,winter,no,5.49,22.93
TikTok,20,mobile,summer,no,5.72,17.04
Facebook,24,computer,fall,no,2.77,4.25
Instagram,22,mobile,fall,no,8.87,15.03
Facebook,33,mobile,summer,no,6.82,5.1
Instagram,27,mobile,winter,no,3.28,9.77
Instagram,32,computer,fall,yes,8.01,8.52
Instagram,27,mobile,summer,no,5.33,12.14
