socialmedia,age,mobile,season,newcustomer,adcost,adrevenue
TikTok,22,mobile,winter,no,1.02,2.34
YouTube,25,computer,spring,no,14.45,29.5
YouTube,37,mobile,summer,no,14.53,26.96
TikTok,17,mobile,summer,no,4.68,4.79
Instagram,29,computer,spring,no,7.36,9.83
YouTube,28,computer,spring,yes,14.52,19.43
Twitter,40,computer,winter,no,1.27,7.5
Instagram,26,mobile,spring,no,8.51,13.74
TikTok,15,mobile,summer,no,6.11,2.93
YouTube,23,mobile,spring,no,8.56,10.8
Facebook,15,mobile,winter,no,2.17,4.9
YouTube,20,computer,fall,no,14.1,39.73
YouTube,42,computer,summer,no,7.24,34.97
Facebook,26,computer,spring,no,2.25,6.07
TikTok,22,mobile,winter,yes,5.24,3.7
Twitter,36,computer,summer,no,2.46,4.84
Instagram,19,computer,spring,no,6.21,8.54
Twitter,38,mobile,summer,no,3.97,5.8
YouTube,39,mobile,winter,no,12.67,5.16
TikTok,20,mobile,spring,no,2.43,2.8
YouTube,24,mobile,spring,no,10.56,2.65
YouTube,41,computer,fall,yes,11.94,11.66
YouTube,26,computer,summer,no,11.64,17.82
Facebook,41,computer,winter,no,2.19,4.32
Facebook,38,computer,fall,no,6.95,20.84
TikTok,16,mobile,spring,no,0.16,1.0
Facebook,40,computer,fall,no,4.13,3.99
YouTube,38,computer,fall,yes,12.74,12.03
TikTok,19,mobile,winter,yes,0.31,13.79
TikTok,18,mobile,summer,yes,4.39,9.58
YouTube,39,mobile,summer,yes,12.26,6.91
TikTok,23,mobile,fall,no,7.02,11.99
Facebook,26,mobile,spring,no,3.35,8.15
Facebook,32,computer,winter,no,2.21,4.17
TikTok,19,mobile,fall,yes,0.6,2.65
TikTok,16,mobile,fall,yes,7.53,21.1
TikTok,23,mobile,fall,yes,6.15,16.35
TikTok,17,mobile,spring,yes,7.15,24.84
TikTok,21,mobile,winter,no,7.01,25.14
Instagram,30,mobile,summer,no,4.28,8.94
TikTok,23,mobile,spring,no,1.96,4.15
YouTube,38,mobile,fall,no,9.54,6.21
Facebook,31,mobile,summer,no,6.9,6.72
Instagram,29,mobile,summer,yes,3.62,15.81
TikTok,16,mobile,fall,yes,1.93,0.97
TikTok,20,mobile,summer,yes,5.79,3.71
Instagram,28,computer,summer,no,6.86,7.53
TikTok,22,mobile,spring,yes,7.03,2.9
TikTok,21,mobile,fall,no,3.29,9.25
YouTube,32,computer,fall,no,14.26,38.63
Instagram,29,computer,summer,yes,5.88,17.16
TikTok,16,computer,fall,yes,2.57,2.03
Facebook,31,mobile,fall,no,5.1,14.03
TikTok,23,mobile,fall,no,2.61,2.66
Facebook,12,mobile,fall,no,3.02,3.24
YouTube,35,mobile,summer,no,5.02,2.88
TikTok,15,mobile,spring,yes,0.29,4.91
YouTube,22,mobile,summer,yes,13.43,0.85
TikTok,22,mobile,spring,no,7.94,8.36
YouTube,41,mobile,summer,no,6.82,14.93
TikTok,17,mobile,fall,no,2.55,2.42
Instagram,27,mobile,winter,yes,6.3,14.88
TikTok,16,mobile,spring,no,1.66,3.61
YouTube,30,computer,winter,no,5.62,22.79
YouTube,30,computer,summer,yes,9.16,18.46
TikTok,19,mobile,winter,yes,7.6,9.44
Facebook,27,mobile,spring,no,4.37,9.93
TikTok,18,mobile,spring,no,3.28,13.85
Instagram,38,mobile,winter,no,7.25,13.94
