socialmedia,age,mobile,season,newcustomer,adcost,adrevenue
Facebook,36,mobile,summer,no,5.03,7.26
YouTube,39,mobile,spring,yes,11.45,18.09
Instagram,26,computer,fall,no,8.91,14.03
YouTube,38,computer,summer,no,8.66,4.21
Facebook,31,mobile,summer,no,3.31,3.58
Instagram,35,mobile,spring,no,6.63,6.54
Instagram,20,mobile,winter,no,4.37,4.33
TikTok,16,mobile,spring,no,6.57,8.86
YouTube,34,computer,winter,yes,10.85,7.48
YouTube,11,computer,fall,no,5.41,3.83
TikTok,17,mobile,summer,no,3.71,2.65
YouTube,36,computer,fall,no,12.28,16.48
Instagram,21,mobile,fall,no,5.33,15.59
YouTube,26,computer,winter,yes,8.35,14.23
Facebook,17,mobile,winter,no,2.78,1.66
Instagram,20,mobile,summer,yes,7.41,10.88
Facebook,31,mobile,summer,no,5.6,18.07
YouTube,34,computer,summer,no,9.51,15.04
TikTok,15,mobile,fall,yes,0.74,1.09
TikTok,18,mobile,spring,no,1.9,7.42
YouTube,21,mobile,spring,no,8.59,28.87
Twitter,37,mobile,winter,yes,2.1,2.77
Facebook,31,mobile,winter,yes,4.73,4.66
YouTube,35,computer,spring,no,6.37,24.08
YouTube,25,computer,spring,no,9.02,13.2
YouTube,21,computer,winter,yes,12.04,17.83
YouTube,21,mobile,winter,yes,14.63,9.71
TikTok,18,mobile,summer,yes,4.55,10.87
Facebook,28,computer,spring,no,4.13,4.83
YouTube,26,computer,summer,no,7.2,4.09
TikTok,17,mobile,summer,yes,4.16,7.73
TikTok,14,mobile,spring,no,0.94,2.34
YouTube,35,computer,fall,yes,7.63,17.29
TikTok,20,mobile,winter,no,1.93,7.61
TikTok,18,mobile,spring,yes,3.9,11.5
Instagram,31,mobile,winter,no,5.01,6.8
TikTok,20,mobile,winter,yes,7.59,22.97
YouTube,26,computer,fall,yes,10.73,11.1
YouTube,33,computer,winter,no,12.69,10.09
Twitter,40,computer,fall,no,2.38,3.89
YouTube,21,mobile,spring,no,9.06,9.53
TikTok,18,mobile,summer,yes,2.22,2.8
Facebook,29,mobile,spring,no,4.97,4.16
TikTok,23,computer,winter,yes,2.02,7.51
TikTok,20,mobile,summer,no,7.06,7.43
TikTok,16,mobile,summer,yes,0.04,7.38
Facebook,37,mobile,fall,no,4.71,18.64
Facebook,31,computer,fall,no,6.01,9.11
Instagram,34,mobile,spring,no,7.11,14.87
TikTok,17,mobile,fall,yes,5.68,5.75
Facebook,34,mobile,spring,no,3.77,1.31
Facebook,25,mobile,winter,no,3.15,6.59
YouTube,24,computer,winter,yes,14.55,49.99
Instagram,25,computer,winter,yes,8.25,4.5
TikTok,17,mobile,winter,yes,0.98,6.34
Facebook,25,mobile,fall,no,3.38,2.63
Instagram,26,computer,summer,no,3.04,5.17
Instagram,26,computer,fall,no,5.08,7.53
YouTube,35,computer,summer,yes,8.84,10.37
Instagram,26,mobile,fall,no,5.21,12.26
Instagram,22,mobile,spring,yes,6.32,14.17
Instagram,21,mobile,summer,yes,6.41,14.15
Facebook,37,mobile,winter,no,5.41,14.31
YouTube,10,computer,summer,yes,5.37,6.75
YouTube,22,computer,fall,no,9.75,14.58
TikTok,15,mobile,fall,no,3.68,0.49
TikTok,13,mobile,winter,yes,3.32,19.37
TikTok,16,mobile,fall,yes,2.07,3.63
Instagram,27,mobile,fall,no,7.18,3.14
Facebook,26,mobile,summer,yes,6.81,2.23
YouTube,24,mobile,summer,no,13.53,36.98
YouTube,29,computer,summer,no,10.34,14.47
TikTok,15,mobile,fall,no,2.99,7.8
Facebook,31,mobile,fall,yes,2.76,8.15
Facebook,25,computer,spring,no,4.14,4.07
Instagram,32,mobile,spring,no,4.55,2.17
YouTube,24,computer,winter,no,10.89,7.63
Instagram,20,mobile,fall,no,4.98,10.79
YouTube,30,computer,winter,no,6.4,28.42
YouTube,27,computer,summer,no,13.21,10.0
Facebook,44,computer,spring,no,4.72,7.32
YouTube,26,computer,spring,yes,5.6,12.96
YouTube,28,mobile,winter,no,6.44,1.1
Instagram,25,mobile,summer,no,5.63,5.76
TikTok,18,mobile,fall,no,0.16,1.66
YouTube,37,mobile,fall,no,6.9,7.98
Instagram,24,mobile,spring,no,7.24,17.47
Twitter,42,computer,spring,no,1.53,11.29
Facebook,33,computer,winter,no,5.81,8.47
Instagram,25,mobile,fall,no,3.32,10.12
Facebook,39,computer,fall,yes,3.51,9.81
Instagram,28,mobile,spring,no,5.54,7.41
TikTok,13,mobile,spring,yes,5.86,3.83
YouTube,33,computer,spring,no,10.61,50.78
TikTok,20,mobile,spring,yes,1.14,3.45
YouTube,35,computer,summer,yes,10.78,5.17
TikTok,22,mobile,winter,no,0.44,0.91
TikTok,17,mobile,fall,yes,0.3,2.34
Facebook,21,computer,fall,no,5.93,14.11
Instagram,28,computer,fall,no,4.13,9.56
YouTube,32,mobile,winter,no,11.66,18.19
TikTok,16,mobile,summer,yes,7.33,8.87
YouTube,27,computer,spring,yes,14.52,5.89
YouTube,20,mobile,summer,yes,11.07,21.16
TikTok,17,mobile,winter,no,1.19,8.67
TikTok,20,mobile,fall,no,5.1,19.21
Instagram,22,computer,summer,no,5.99,11.17
TikTok,17,mobile,winter,yes,2.89,3.01
YouTube,38,computer,winter,no,13.0,21.45
YouTube,43,computer,summer,no,10.84,25.04
Instagram,19,mobile,winter,no,4.55,3.4
YouTube,24,computer,winter,yes,6.84,23.77
Facebook,26,mobile,winter,no,5.97,1.89
YouTube,44,mobile,summer,no,5.93,20.64
YouTube,25,computer,summer,no,8.59,5.8
YouTube,38,mobile,summer,no,8.16,7.44
Facebook,43,mobile,winter,no,4.89,17.95
Facebook,40,mobile,winter,no,4.64,6.41
TikTok,22,computer,summer,no,7.62,3.1
YouTube,28,mobile,spring,no,10.98,9.54
YouTube,41,mobile,fall,yes,8.12,15.83
Instagram,26,mobile,winter,no,7.61,4.03
TikTok,23,mobile,spring,yes,6.36,14.41
Instagram,31,mobile,summer,no,6.44,4.71
TikTok,13,mobile,fall,no,5.04,14.22
TikTok,15,mobile,spring,no,2.68,13.1
Instagram,26,mobile,spring,no,6.63,3.94
YouTube,24,computer,winter,no,11.19,18.39
TikTok,18,mobile,winter,yes,2.65,1.14
