socialmedia,age,mobile,season,newcustomer,adcost,adrevenue
TikTok,22,mobile,fall,yes,5.77,20.33
YouTube,26,computer,summer,no,7.8,13.66
Facebook,22,mobile,summer,no,5.41,1.65
YouTube,46,computer,spring,yes,5.24,27.73
Instagram,33,mobile,fall,no,3.95,8.56
Twitter,29,computer,winter,no,3.35,1.96
Instagram,23,mobile,fall,no,4.28,6.54
Facebook,15,mobile,spring,no,5.47,8.79
YouTube,23,computer,spring,yes,11.28,25.11
Instagram,31,computer,spring,no,5.37,9.64
TikTok,19,mobile,summer,no,2.48,10.97
YouTube,45,computer,winter,yes,12.38,36.07
TikTok,19,mobile,summer,no,3.39,3.63
YouTube,35,mobile,fall,no,7.3,3.38
Facebook,25,mobile,winter,no,5.79,4.93
Facebook,28,computer,fall,no,3.97,2.22
YouTube,36,computer,winter,no,13.8,98.47
TikTok,15,mobile,spring,yes,2.96,4.55
YouTube,48,computer,summer,no,7.48,9.08
TikTok,17,mobile,winter,yes,3.5,2.62
TikTok,21,mobile,spring,no,0.87,2.91
YouTube,16,computer,fall,no,6.4,15.28
YouTube,32,computer,fall,no,10.22,10.41
Instagram,29,mobile,fall,yes,7.05,6.15
YouTube,30,computer,spring,no,10.1,30.16
TikTok,20,mobile,spring,yes,1.2,0.99
Instagram,22,mobile,summer,no,3.55,4.71
TikTok,22,mobile,spring,no,6.63,27.8
Facebook,36,mobile,spring,no,3.64,3.25
Facebook,36,computer,spring,no,5.6,7.62
Facebook,29,mobile,winter,no,3.65,1.41
YouTube,38,computer,winter,yes,7.92,16.34
Twitter,41,mobile,fall,no,2.71,13.96
Instagram,23,mobile,winter,yes,6.2,1.89
YouTube,24,computer,fall,yes,8.31,28.73
Facebook,22,mobile,summer,no,2.67,3.02
Facebook,30,computer,winter,no,3.26,12.35
TikTok,16,mobile,fall,yes,7.66,10.79
TikTok,19,mobile,fall,no,6.82,7.44
TikTok,20,mobile,summer,yes,1.23,9.01
YouTube,28,computer,summer,no,10.85,19.13
YouTube,24,computer,summer,yes,12.14,14.59
Instagram,33,mobile,winter,no,8.21,31.96
Instagram,31,mobile,winter,no,5.91,17.21
YouTube,25,mobile,summer,no,13.07,11.72
YouTube,28,computer,spring,no,5.95,26.17
Twitter,38,mobile,summer,no,1.56,18.19
YouTube,22,computer,spring,no,10.75,15.3
TikTok,15,mobile,fall,yes,4.98,5.1
Facebook,27,mobile,fall,no,4.46,3.88
Instagram,32,mobile,summer,no,5.08,1.63
YouTube,39,computer,fall,no,14.41,93.49
YouTube,35,mobile,fall,yes,7.18,14.17
Twitter,38,mobile,summer,no,3.44,2.15
TikTok,20,mobile,spring,yes,0.37,0.95
TikTok,16,mobile,fall,yes,3.11,1.57
TikTok,18,mobile,winter,yes,7.0,49.33
YouTube,42,mobile,winter,yes,9.2,19.04
TikTok,22,mobile,summer,yes,7.21,8.81
Twitter,40,computer,winter,no,3.37,8.03
TikTok,16,mobile,summer,no,7.58,2.05
Instagram,26,computer,fall,yes,8.4,12.22
TikTok,18,mobile,winter,yes,2.56,4.43
YouTube,32,computer,winter,yes,14.45,48.44
TikTok,22,mobile,summer,yes,1.26,3.89
TikTok,20,mobile,fall,yes,6.99,12.31
TikTok,18,mobile,fall,no,6.84,25.7
Instagram,30,mobile,spring,yes,7.04,8.69
TikTok,15,mobile,spring,yes,1.19,6.05
TikTok,15,mobile,fall,no,3.9,5.98
Instagram,25,mobile,spring,no,8.74,42.7
Facebook,37,computer,spring,no,2.11,42.82
TikTok,24,mobile,spring,no,2.38,27.81
TikTok,20,mobile,winter,no,4.6,2.09
YouTube,51,computer,fall,yes,11.49,80.24
YouTube,48,computer,winter,yes,13.8,10.9
Instagram,22,computer,summer,no,4.87,16.2
TikTok,11,mobile,spring,no,1.61,9.88
YouTube,29,computer,winter,no,14.87,11.59
Facebook,28,mobile,winter,no,3.62,6.84
Twitter,35,mobile,fall,yes,1.41,8.57
TikTok,23,computer,winter,yes,0.34,4.55
Instagram,25,mobile,fall,yes,7.9,6.13
TikTok,14,mobile,winter,yes,0.59,1.48
Instagram,32,computer,fall,no,5.15,6.05
TikTok,20,mobile,spring,yes,3.85,3.95
Instagram,31,mobile,summer,no,7.1,7.16
Facebook,23,mobile,spring,no,5.14,2.56
TikTok,18,mobile,spring,no,7.61,10.7
Facebook,26,computer,spring,no,3.58,2.66
Instagram,26,computer,summer,no,8.39,7.86
TikTok,13,mobile,winter,yes,2.18,4.17
YouTube,45,computer,fall,yes,11.41,42.85
Instagram,26,computer,winter,yes,7.13,4.33
Facebook,44,computer,spring,no,3.84,2.18
TikTok,17,mobile,spring,yes,0.95,3.19
TikTok,26,computer,summer,no,1.85,0.96
Twitter,36,mobile,summer,no,3.31,3.07
Instagram,22,computer,fall,yes,5.03,8.9
YouTube,21,computer,summer,yes,6.4,2.75
YouTube,22,computer,fall,yes,13.66,7.88
TikTok,20,mobile,winter,no,6.04,9.14
Instagram,25,mobile,spring,no,5.81,19.27
Facebook,45,mobile,fall,no,3.73,6.42
TikTok,19,mobile,spring,no,2.48,2.85
YouTube,28,computer,spring,yes,12.85,3.86
TikTok,21,mobile,fall,no,6.38,0.89
TikTok,16,mobile,summer,yes,0.34,8.27
TikTok,17,mobile,summer,yes,7.84,5.75
YouTube,41,computer,spring,no,11.13,88.16
Instagram,25,mobile,spring,no,7.04,17.0
Instagram,30,computer,winter,no,8.75,9.01
Twitter,29,mobile,winter,no,3.06,3.85
TikTok,11,mobile,fall,no,2.71,6.47
Facebook,31,mobile,fall,no,4.7,2.32
Facebook,32,mobile,spring,no,6.72,4.29
TikTok,26,mobile,fall,no,3.37,28.5
YouTube,36,mobile,fall,yes,13.72,12.92
TikTok,17,mobile,summer,yes,0.74,4.15
Facebook,40,computer,summer,no,6.95,9.59
Instagram,22,computer,fall,no,4.42,16.51
YouTube,10,computer,winter,no,7.25,9.62
TikTok,14,mobile,summer,yes,6.2,14.92
Facebook,28,mobile,winter,no,4.88,21.29
TikTok,23,computer,winter,yes,3.08,3.0
Facebook,33,computer,winter,no,6.33,3.06
