socialmedia,age,mobile,season,newcustomer,adcost,adrevenue
Facebook,27,mobile,fall,no,6.96,18.14
YouTube,20,mobile,winter,no,10.85,14.58
YouTube,29,computer,spring,yes,13.19,24.22
TikTok,19,mobile,fall,no,1.16,12.69
Instagram,24,mobile,winter,no,3.09,16.43
Facebook,27,mobile,fall,no,5.19,3.56
TikTok,18,mobile,winter,no,7.67,20.44
Facebook,16,computer,spring,no,4.94,0.06
TikTok,26,mobile,spring,no,2.6,11.76
TikTok,20,mobile,spring,no,2.87,22.19
YouTube,27,computer,fall,yes,7.37,6.34
TikTok,25,mobile,summer,no,5.81,29.69
TikTok,17,mobile,summer,yes,6.95,1.61
TikTok,18,mobile,summer,no,5.58,9.67
YouTube,28,computer,spring,no,8.99,22.91
Instagram,22,mobile,winter,yes,6.82,5.1
TikTok,19,mobile,fall,no,1.93,17.81
TikTok,17,mobile,summer,yes,7.46,14.15
Facebook,26,computer,winter,no,2.48,10.48
YouTube,25,computer,winter,no,12.76,44.69
Instagram,17,mobile,summer,no,4.85,4.21
Instagram,28,mobile,fall,no,8.81,6.45
Facebook,37,computer,fall,no,3.12,8.7
Facebook,20,mobile,summer,no,2.66,4.51
TikTok,22,mobile,spring,yes,6.8,4.11
TikTok,18,mobile,spring,yes,5.98,2.76
Instagram,21,mobile,summer,no,6.4,26.78
YouTube,45,mobile,summer,no,13.56,0.42
TikTok,22,mobile,summer,yes,5.39,6.47
Facebook,35,mobile,summer,no,4.67,20.87
Instagram,24,computer,winter,no,6.09,3.51
TikTok,14,mobile,summer,no,6.06,10.25
TikTok,25,mobile,spring,no,1.63,8.15
YouTube,37,computer,fall,no,5.01,15.64
TikTok,13,mobile,fall,yes,0.07,3.54
TikTok,15,mobile,winter,yes,0.15,9.22
YouTube,21,mobile,summer,yes,7.6,7.83
Facebook,32,computer,winter,no,4.45,13.3
Facebook,36,computer,summer,no,3.95,12.78
YouTube,26,mobile,fall,no,8.86,8.45
TikTok,17,mobile,fall,no,0.45,4.97
Instagram,26,mobile,fall,no,8.16,6.73
YouTube,21,mobile,spring,no,10.64,17.75
Instagram,25,mobile,winter,yes,7.04,21.9
Instagram,36,mobile,spring,yes,7.17,20.32
YouTube,50,computer,fall,no,13.08,6.31
Instagram,22,mobile,spring,no,3.88,7.41
TikTok,16,mobile,summer,no,4.9,3.08
Instagram,25,computer,winter,no,7.81,19.8
YouTube,44,mobile,summer,no,14.37,12.58
YouTube,28,computer,fall,yes,13.5,46.45
YouTube,35,computer,winter,no,14.47,3.55
YouTube,38,computer,winter,no,10.54,0.89
TikTok,16,computer,spring,yes,6.23,15.26
Instagram,26,mobile,summer,no,8.74,12.97
YouTube,29,computer,spring,no,12.74,11.62
TikTok,21,mobile,spring,no,2.42,3.21
YouTube,32,computer,summer,yes,7.61,5.54
YouTube,19,computer,summer,no,11.93,36.53
TikTok,17,mobile,summer,yes,0.03,2.43
YouTube,20,mobile,summer,no,8.09,16.68
YouTube,31,computer,winter,yes,8.97,44.38
TikTok,17,mobile,winter,yes,0.23,4.76
YouTube,47,computer,spring,no,6.28,2.78
TikTok,21,mobile,fall,yes,7.44,33.02
Instagram,21,mobile,winter,yes,4.37,3.72
YouTube,34,computer,winter,no,6.65,15.27
YouTube,10,computer,winter,yes,9.95,6.46
YouTube,36,computer,winter,no,5.2,11.13
TikTok,18,mobile,winter,no,3.13,13.38
YouTube,35,mobile,winter,no,13.18,28.35
TikTok,25,mobile,winter,no,5.67,2.9
TikTok,17,computer,fall,no,3.13,12.29
Instagram,23,computer,winter,no,6.12,11.25
YouTube,21,mobile,winter,no,9.54,12.69
Twitter,30,mobile,fall,yes,1.83,9.19
YouTube,29,computer,winter,yes,12.09,27.99
Instagram,30,mobile,summer,no,4.02,25.08
Instagram,18,mobile,winter,no,4.27,12.38
Instagram,31,mobile,winter,no,5.78,14.93
YouTube,31,computer,fall,no,8.09,2.66
Instagram,23,mobile,spring,no,4.98,7.75
TikTok,23,mobile,winter,yes,2.36,3.4
YouTube,67,computer,winter,yes,12.68,17.53
YouTube,30,mobile,winter,yes,12.74,23.99
YouTube,25,mobile,spring,no,10.42,8.44
TikTok,13,mobile,summer,yes,5.06,17.72
TikTok,19,mobile,winter,yes,6.45,3.49
Instagram,21,computer,winter,no,5.36,4.14
Instagram,25,mobile,summer,yes,4.15,14.05
YouTube,32,computer,fall,yes,13.93,7.21
TikTok,21,mobile,summer,no,2.82,9.54
YouTube,40,mobile,fall,no,11.68,0.81
YouTube,43,computer,winter,no,13.45,77.92
Instagram,23,mobile,winter,yes,7.48,11.4
YouTube,39,mobile,fall,yes,9.19,5.45
TikTok,18,mobile,winter,no,7.12,2.05
YouTube,37,computer,spring,no,7.94,17.58
TikTok,21,mobile,fall,no,2.51,6.74
YouTube,44,computer,spring,yes,5.84,11.23
TikTok,23,mobile,summer,no,7.72,17.84
TikTok,18,mobile,fall,yes,1.98,3.02
TikTok,18,computer,summer,yes,2.69,10.35
TikTok,18,mobile,spring,no,3.67,14.38
Facebook,29,computer,fall,no,3.89,10.06
Instagram,22,mobile,summer,no,4.91,13.42
Instagram,18,mobile,fall,yes,3.83,7.8
YouTube,18,mobile,fall,no,8.19,26.31
YouTube,36,computer,fall,no,7.33,52.09
TikTok,21,mobile,summer,no,7.28,4.54
YouTube,23,computer,spring,no,8.79,0.17
YouTube,36,computer,spring,yes,7.11,14.24
YouTube,30,mobile,summer,no,5.9,13.34
YouTube,23,computer,fall,no,11.87,32.2
Twitter,46,mobile,fall,no,2.51,8.71
YouTube,26,mobile,winter,no,5.07,5.91
YouTube,40,mobile,winter,no,5.2,13.52
YouTube,31,computer,winter,yes,14.55,22.7
TikTok,14,mobile,winter,yes,0.21,1.58
Instagram,35,mobile,fall,yes,4.6,10.94
Instagram,28,mobile,spring,no,4.18,17.38
Instagram,32,mobile,winter,no,4.78,2.46
YouTube,31,computer,summer,no,9.37,28.77
TikTok,16,mobile,summer,no,2.14,6.32
YouTube,31,computer,winter,no,9.82,14.9
Instagram,23,mobile,summer,no,8.7,24.49
Twitter,37,mobile,spring,yes,3.15,9.71
Facebook,33,mobile,summer,yes,4.06,3.53
Facebook,25,mobile,summer,no,5.46,13.57
TikTok,25,mobile,spring,no,6.67,14.56
YouTube,33,computer,fall,no,11.59,27.82
YouTube,35,mobile,winter,yes,7.32,2.3
TikTok,14,mobile,spring,yes,1.96,11.43
Instagram,22,mobile,summer,yes,3.46,5.38
Twitter,33,mobile,fall,yes,3.62,3.23
YouTube,36,computer,fall,no,5.15,16.13
Instagram,31,computer,fall,no,4.64,6.44
Facebook,39,mobile,spring,yes,4.76,10.09
TikTok,22,mobile,spring,no,5.96,21.7
Instagram,22,mobile,spring,yes,5.15,15.36
Facebook,27,computer,fall,no,2.14,5.74
Instagram,24,mobile,summer,no,5.42,13.06
YouTube,25,computer,winter,no,12.98,11.01
YouTube,18,computer,fall,no,9.42,32.87
Facebook,35,computer,fall,no,4.16,16.35
TikTok,14,mobile,fall,yes,3.54,10.05
Instagram,28,mobile,winter,no,8.74,5.74
YouTube,27,mobile,fall,no,12.28,19.99
TikTok,13,mobile,summer,yes,2.61,14.29
Twitter,25,mobile,summer,no,3.98,5.87
Twitter,35,mobile,fall,no,2.56,15.52
YouTube,40,computer,fall,yes,7.26,12.75
Instagram,21,computer,fall,no,7.02,3.33
YouTube,39,computer,spring,yes,13.79,12.79
YouTube,33,computer,fall,no,14.13,70.04
Facebook,31,computer,spring,no,3.1,6.49
Instagram,24,mobile,winter,no,3.07,6.64
Twitter,39,mobile,summer,no,2.39,1.58
TikTok,22,mobile,summer,no,0.55,14.79
Twitter,35,mobile,winter,no,3.21,4.43
Instagram,25,mobile,winter,no,4.35,8.67
Twitter,40,mobile,winter,no,3.37,5.97
TikTok,17,mobile,spring,yes,4.46,2.94
TikTok,15,mobile,spring,no,5.01,8.04
YouTube,44,computer,summer,yes,7.84,20.5
TikTok,11,mobile,winter,yes,4.19,3.7
Instagram,30,mobile,fall,no,3.77,12.32
YouTube,38,mobile,spring,yes,13.89,4.97
TikTok,15,mobile,winter,yes,7.04,9.49
YouTube,40,computer,winter,no,6.86,7.87
YouTube,42,computer,summer,yes,6.39,18.72
Instagram,39,mobile,spring,no,8.81,34.44
YouTube,28,computer,spring,yes,8.89,36.27
Facebook,38,computer,summer,no,4.23,3.12
Facebook,24,computer,winter,no,5.24,0.81
Twitter,37,mobile,spring,no,2.35,0.53
Instagram,32,mobile,spring,no,5.72,1.91
Twitter,29,computer,fall,no,3.04,5.7
YouTube,15,computer,winter,no,11.86,4.42
Instagram,33,mobile,fall,yes,8.8,3.73
TikTok,21,mobile,fall,no,1.13,0.97
TikTok,19,mobile,summer,no,4.41,2.4
YouTube,33,mobile,winter,yes,10.54,3.75
Facebook,25,computer,summer,no,2.05,3.41
YouTube,47,computer,fall,yes,6.85,13.65
Instagram,18,mobile,summer,yes,5.04,9.37
YouTube,24,mobile,spring,yes,8.13,10.95
TikTok,18,mobile,spring,no,5.75,6.39
Facebook,20,computer,spring,no,3.9,7.96
YouTube,42,mobile,summer,no,6.16,3.52
TikTok,18,mobile,summer,yes,0.06,21.95
Instagram,20,computer,winter,no,8.09,2.78
YouTube,25,computer,summer,no,5.42,1.46
Twitter,41,computer,spring,no,1.53,7.85
Facebook,30,computer,spring,yes,2.09,8.39
TikTok,17,mobile,winter,yes,7.95,3.17
TikTok,20,computer,winter,no,2.76,4.91
YouTube,47,mobile,spring,no,11.21,17.04
TikTok,20,mobile,spring,no,3.96,12.09
YouTube,37,computer,spring,no,13.09,84.32
Instagram,16,mobile,winter,no,6.59,9.42
YouTube,29,computer,spring,yes,14.09,3.97
YouTube,36,computer,summer,no,9.38,10.85
TikTok,13,mobile,spring,yes,4.5,4.14
Instagram,22,mobile,summer,no,4.12,0.64
TikTok,16,mobile,winter,yes,5.68,1.24
TikTok,21,mobile,summer,no,7.01,1.65
YouTube,33,computer,summer,yes,8.35,10.7
TikTok,18,mobile,spring,yes,6.86,15.42
TikTok,15,mobile,winter,yes,2.3,25.82
Instagram,33,mobile,fall,no,4.56,5.63
TikTok,21,mobile,summer,yes,5.25,14.28
TikTok,18,mobile,fall,yes,0.41,3.07
Facebook,28,mobile,fall,yes,6.55,2.36
Facebook,22,mobile,spring,yes,5.17,5.37
Instagram,19,mobile,spring,no,6.91,3.84
YouTube,26,mobile,summer,no,14.11,2.85
Instagram,34,mobile,summer,no,5.46,6.26
Facebook,30,mobile,spring,yes,3.79,3.63
Facebook,36,mobile,spring,no,6.37,8.98
Instagram,22,mobile,spring,yes,5.37,30.27
YouTube,25,computer,winter,no,12.6,9.47
TikTok,24,mobile,fall,no,6.12,8.62
YouTube,26,mobile,winter,no,13.7,6.59
Instagram,29,mobile,fall,yes,3.6,8.71
