socialmedia,age,mobile,season,newcustomer,adcost,adrevenue
Twitter,44,mobile,summer,no,1.4,23.65
Instagram,29,mobile,fall,yes,6.76,16.27
Instagram,24,mobile,winter,no,7.04,11.5
YouTube,39,computer,fall,yes,6.06,20.68
TikTok,20,mobile,fall,no,1.95,9.33
TikTok,22,mobile,summer,no,0.28,3.58
YouTube,30,computer,summer,no,14.82,78.42
TikTok,20,computer,summer,yes,5.31,11.22
YouTube,37,computer,winter,yes,11.42,63.44
YouTube,13,computer,summer,yes,9.97,9.73
Facebook,37,mobile,summer,no,6.31,15.48
YouTube,34,mobile,winter,no,13.19,44.12
TikTok,20,mobile,winter,yes,0.47,6.62
YouTube,27,computer,fall,yes,7.4,23.24
Twitter,45,mobile,summer,no,1.92,21.67
Instagram,29,computer,winter,no,6.38,5.27
TikTok,25,mobile,summer,yes,6.92,21.26
YouTube,22,computer,fall,no,13.01,10.35
Facebook,29,mobile,winter,no,6.86,11.26
Instagram,19,mobile,fall,yes,7.8,11.14
Instagram,33,mobile,fall,yes,5.93,13.71
TikTok,19,mobile,winter,yes,4.01,4.73
Instagram,29,mobile,summer,no,6.56,6.13
Facebook,28,computer,fall,yes,3.02,4.77
TikTok,17,mobile,spring,no,2.87,7.44
TikTok,15,mobile,winter,yes,3.87,6.32
YouTube,52,computer,summer,no,14.67,17.85
TikTok,21,mobile,winter,no,2.37,8.12
TikTok,24,mobile,fall,yes,6.21,0.47
Facebook,34,mobile,winter,no,3.07,14.55
Instagram,27,mobile,fall,no,3.87,10.38
Instagram,31,mobile,spring,no,7.87,4.25
TikTok,19,mobile,winter,no,1.33,7.46
TikTok,21,mobile,fall,yes,3.72,15.64
Instagram,31,mobile,summer,no,5.36,5.81
Facebook,34,mobile,winter,no,3.17,3.04
Facebook,44,mobile,summer,yes,4.72,1.9
TikTok,17,mobile,fall,yes,7.64,10.81
Facebook,33,computer,fall,no,3.12,6.04
TikTok,16,mobile,spring,yes,7.78,7.23
TikTok,20,computer,winter,yes,4.97,2.5
Facebook,24,mobile,spring,no,3.66,13.51
TikTok,16,mobile,spring,yes,7.49,1.98
Twitter,38,computer,fall,no,3.29,14.64
YouTube,33,mobile,fall,yes,12.35,25.8
Instagram,29,mobile,summer,no,5.43,12.3
TikTok,17,mobile,summer,no,4.25,11.62
Instagram,16,mobile,winter,no,8.35,5.82
Facebook,39,mobile,summer,no,2.75,0.85
Instagram,28,mobile,winter,yes,6.9,14.77
TikTok,15,mobile,spring,no,1.08,3.18
Instagram,33,mobile,summer,no,6.67,2.98
YouTube,29,mobile,winter,no,6.79,17.38
YouTube,46,computer,spring,yes,14.24,70.58
YouTube,25,computer,summer,no,13.0,14.93
TikTok,18,mobile,winter,yes,0.06,3.72
TikTok,20,mobile,fall,no,6.6,17.11
TikTok,19,mobile,summer,yes,1.15,2.92
