socialmedia,age,mobile,season,newcustomer,adcost,adrevenue
TikTok,14,mobile,spring,no,7.03,21.0
YouTube,26,computer,summer,yes,14.87,50.59
YouTube,41,mobile,spring,no,13.69,9.84
Facebook,43,computer,winter,no,2.52,5.34
YouTube,10,computer,spring,yes,6.67,5.59
YouTube,25,computer,summer,no,14.12,3.21
TikTok,18,mobile,winter,no,7.93,20.94
YouTube,42,computer,spring,yes,7.24,42.64
Instagram,21,mobile,winter,yes,8.08,9.49
Instagram,23,mobile,winter,no,6.93,9.21
TikTok,17,mobile,winter,yes,0.9,8.15
YouTube,40,computer,spring,no,12.77,29.42
YouTube,42,computer,spring,no,13.83,25.41
TikTok,20,mobile,winter,yes,3.91,14.51
TikTok,15,mobile,winter,yes,2.22,1.17
TikTok,19,mobile,spring,no,3.87,0.84
TikTok,20,computer,summer,yes,0.26,1.77
YouTube,35,computer,summer,no,8.45,3.76
TikTok,23,mobile,winter,yes,4.2,8.54
Facebook,21,computer,fall,yes,6.44,6.98
YouTube,27,mobile,spring,no,7.23,1.7
YouTube,29,computer,summer,no,8.59,5.75
TikTok,14,mobile,fall,yes,7.32,6.63
TikTok,20,mobile,fall,no,4.87,6.12
TikTok,16,mobile,fall,no,7.92,2.43
TikTok,20,mobile,summer,no,5.7,17.85
Instagram,28,mobile,summer,no,5.07,7.85
Facebook,40,computer,spring,no,5.57,9.13
YouTube,11,computer,summer,no,11.59,10.79
TikTok,20,mobile,winter,yes,3.94,19.52
Facebook,30,computer,spring,no,3.83,23.33
TikTok,18,mobile,summer,no,4.72,24.95
TikTok,26,mobile,spring,yes,7.9,11.86
TikTok,17,mobile,spring,yes,2.23,12.94
TikTok,18,mobile,winter,yes,5.43,1.6
TikTok,17,mobile,fall,no,7.79,9.81
Facebook,26,mobile,spring,no,2.93,9.05
Facebook,41,computer,spring,no,5.36,8.77
YouTube,24,computer,spring,yes,6.63,18.78
Instagram,28,mobile,fall,no,4.67,9.74
TikTok,21,mobile,fall,no,3.63,3.37
TikTok,19,mobile,spring,no,1.47,7.02
TikTok,20,computer,summer,no,5.18,3.73
Instagram,19,mobile,summer,no,4.32,5.54
TikTok,13,mobile,summer,no,1.34,5.13
Facebook,29,mobile,spring,no,2.59,6.17
TikTok,14,mobile,spring,no,7.73,5.48
Facebook,28,mobile,winter,no,5.33,15.25
Instagram,22,mobile,spring,no,7.25,18.5
Facebook,32,mobile,summer,no,3.65,5.31
TikTok,17,mobile,fall,yes,3.86,3.96
TikTok,24,mobile,fall,yes,1.6,2.38
TikTok,18,mobile,winter,no,5.86,30.78
YouTube,34,computer,summer,no,7.72,9.94
Instagram,27,mobile,winter,no,7.48,14.37
YouTube,27,computer,winter,no,10.73,5.02
Facebook,35,mobile,fall,no,4.19,2.3
YouTube,35,mobile,fall,no,12.38,5.95
TikTok,24,mobile,spring,no,4.51,28.71
Facebook,30,mobile,fall,no,6.55,8.71
Instagram,32,mobile,summer,yes,4.63,3.96
Facebook,45,mobile,summer,no,4.02,4.39
TikTok,19,mobile,spring,yes,2.68,5.98
TikTok,19,mobile,winter,yes,0.42,3.15
Twitter,41,mobile,spring,no,3.43,8.07
TikTok,15,mobile,summer,no,4.49,11.68
TikTok,19,mobile,spring,yes,7.25,17.67
YouTube,33,computer,summer,yes,7.43,17.02
Twitter,37,computer,fall,no,1.07,5.63
YouTube,39,mobile,spring,yes,5.4,14.67
YouTube,23,computer,summer,yes,13.22,37.9
Facebook,48,mobile,fall,no,3.44,0.66
Facebook,32,computer,spring,no,5.8,18.02
Facebook,23,computer,fall,yes,2.38,2.98
Twitter,38,mobile,spring,no,2.8,0.38
Instagram,19,mobile,winter,yes,6.7,10.45
Facebook,38,mobile,fall,no,2.07,8.93
Twitter,45,computer,fall,no,3.02,3.56
YouTube,37,computer,winter,no,6.46,18.11
Instagram,40,mobile,summer,no,8.51,21.68
Twitter,45,mobile,summer,yes,1.37,0.36
TikTok,16,mobile,winter,yes,0.05,6.46
YouTube,17,computer,summer,no,6.25,8.43
TikTok,19,mobile,summer,yes,6.69,3.12
TikTok,18,computer,winter,yes,1.19,32.51
YouTube,47,mobile,winter,yes,8.71,1.2
TikTok,19,mobile,spring,no,1.65,1.56
YouTube,32,computer,spring,yes,11.91,16.97
TikTok,20,computer,fall,no,6.64,4.18
Facebook,30,computer,winter,no,5.59,8.0
TikTok,14,mobile,fall,no,6.49,10.54
Instagram,25,mobile,spring,no,3.25,2.07
TikTok,21,mobile,fall,no,7.32,6.48
TikTok,19,computer,fall,yes,7.02,3.13
Instagram,36,mobile,spring,yes,8.75,29.58
Twitter,40,mobile,winter,no,2.29,2.87
YouTube,27,mobile,summer,no,11.46,3.59
YouTube,30,mobile,summer,no,5.11,8.27
Twitter,33,mobile,summer,no,2.03,1.63
TikTok,20,computer,winter,no,4.26,13.34
TikTok,18,mobile,winter,yes,4.51,16.61
YouTube,31,mobile,fall,yes,6.9,9.13
YouTube,33,computer,summer,yes,14.24,23.0
YouTube,35,mobile,summer,yes,7.97,8.34
YouTube,39,computer,summer,yes,10.72,42.46
Instagram,34,mobile,spring,no,7.47,13.69
Instagram,23,mobile,fall,no,3.93,13.87
TikTok,21,computer,spring,no,0.93,8.52
Instagram,22,mobile,fall,no,8.54,6.04
YouTube,38,computer,summer,yes,6.25,11.96
Instagram,28,mobile,fall,yes,7.25,8.82
Instagram,22,mobile,spring,yes,5.08,3.49
Instagram,24,mobile,winter,no,8.61,9.5
TikTok,19,mobile,fall,yes,7.57,3.3
Instagram,26,mobile,winter,yes,6.21,17.23
YouTube,32,computer,summer,no,7.37,29.37
TikTok,21,mobile,fall,no,7.84,23.62
Facebook,30,computer,spring,no,2.75,2.65
TikTok,20,computer,spring,no,3.38,8.22
Facebook,34,mobile,summer,no,5.67,2.06
YouTube,25,mobile,summer,no,10.91,16.48
YouTube,19,mobile,spring,yes,9.54,5.88
YouTube,32,computer,winter,no,6.25,44.07
Instagram,31,mobile,summer,yes,3.07,8.87
YouTube,17,computer,fall,no,10.17,4.56
YouTube,35,computer,summer,yes,9.8,5.84
Twitter,38,computer,winter,no,3.47,12.94
Facebook,24,mobile,winter,no,6.47,5.3
TikTok,14,mobile,winter,yes,6.88,3.31
YouTube,17,computer,fall,no,5.37,18.04
YouTube,45,mobile,spring,no,12.49,24.58
Twitter,39,computer,fall,yes,1.18,1.71
Instagram,21,mobile,spring,no,7.31,7.83
TikTok,18,mobile,winter,no,3.64,2.01
Instagram,26,mobile,winter,no,7.14,20.33
TikTok,21,mobile,summer,no,7.99,2.34
TikTok,17,mobile,spring,no,4.82,7.02
Instagram,36,mobile,summer,yes,4.72,10.42
Twitter,35,mobile,winter,yes,1.33,0.85
TikTok,16,mobile,summer,no,0.0,9.72
Instagram,23,computer,fall,yes,7.19,3.46
TikTok,21,computer,fall,no,0.16,2.12
YouTube,37,computer,summer,no,13.67,7.95
YouTube,40,computer,fall,yes,9.49,31.71
YouTube,27,mobile,summer,yes,9.35,2.7
Instagram,17,mobile,spring,yes,8.51,29.11
TikTok,23,mobile,summer,yes,6.63,3.16
TikTok,17,mobile,summer,yes,0.81,3.6
YouTube,32,computer,fall,no,14.71,40.85
YouTube,41,computer,spring,no,11.24,5.48
Instagram,27,mobile,summer,no,5.5,17.54
TikTok,15,mobile,summer,yes,6.34,6.27
YouTube,24,computer,fall,yes,7.39,14.34
Facebook,28,computer,fall,no,3.18,5.7
YouTube,22,computer,fall,yes,14.35,11.43
TikTok,16,mobile,fall,no,4.24,1.01
YouTube,20,computer,summer,no,13.01,12.0
TikTok,20,mobile,fall,no,4.15,5.53
Instagram,26,computer,summer,no,8.87,12.21
YouTube,47,computer,summer,no,11.3,68.69
YouTube,35,computer,spring,yes,14.31,3.61
YouTube,35,mobile,spring,yes,11.14,23.26
TikTok,14,mobile,winter,yes,0.37,5.52
Instagram,29,mobile,spring,no,8.17,12.13
YouTube,40,computer,spring,no,6.6,37.1
Facebook,23,computer,winter,no,4.5,13.64
YouTube,40,computer,fall,yes,7.94,7.59
YouTube,28,computer,summer,yes,11.39,10.36
YouTube,58,computer,summer,no,10.06,40.34
TikTok,15,mobile,summer,no,5.6,8.89
YouTube,39,mobile,fall,no,10.81,5.67
Twitter,27,mobile,summer,no,2.99,1.51
TikTok,21,mobile,fall,no,6.45,16.47
Instagram,26,computer,summer,yes,7.14,9.3
YouTube,24,computer,fall,yes,9.23,24.63
YouTube,23,computer,spring,no,9.9,7.57
YouTube,33,mobile,summer,no,7.13,12.23
YouTube,30,computer,fall,no,7.94,18.86
Facebook,22,mobile,summer,no,5.25,16.46
YouTube,39,computer,spring,no,8.87,46.13
Facebook,21,computer,fall,no,6.21,7.13
Instagram,24,mobile,fall,no,6.0,12.08
YouTube,18,mobile,summer,no,9.49,2.65
YouTube,27,computer,summer,no,10.2,2.02
Facebook,30,computer,summer,no,3.06,5.92
YouTube,23,computer,winter,no,5.95,2.33
Twitter,30,mobile,spring,no,1.82,5.34
Instagram,34,computer,summer,yes,4.1,3.08
Facebook,43,mobile,winter,no,6.5,9.31
TikTok,20,mobile,winter,yes,3.11,10.26
Instagram,33,computer,winter,no,5.83,8.65
Facebook,22,mobile,winter,no,5.27,10.7
TikTok,21,mobile,fall,yes,3.5,30.97
YouTube,45,computer,summer,no,5.5,27.27
TikTok,20,mobile,spring,no,4.7,5.89
TikTok,15,mobile,summer,yes,2.86,1.85
Instagram,21,computer,summer,yes,8.08,36.94
TikTok,15,mobile,fall,yes,3.87,0.8
TikTok,18,mobile,fall,no,6.56,11.56
TikTok,15,mobile,fall,no,6.6,10.31
Facebook,33,mobile,spring,no,6.82,9.52
Facebook,22,mobile,summer,no,4.28,10.19
TikTok,21,mobile,spring,no,0.39,0.63
Instagram,24,mobile,summer,yes,3.49,7.22
YouTube,40,computer,spring,yes,12.23,72.62
Facebook,25,mobile,spring,no,2.46,1.61
YouTube,47,computer,winter,no,7.74,15.45
YouTube,20,computer,summer,no,8.58,6.76
TikTok,21,mobile,spring,no,6.87,0.94
Instagram,35,mobile,spring,no,6.98,9.09
YouTube,36,computer,summer,yes,10.92,11.58
Instagram,29,mobile,winter,no,3.35,3.12
TikTok,17,mobile,fall,yes,6.54,22.75
Instagram,28,mobile,summer,yes,8.2,0.22
YouTube,38,computer,summer,no,6.32,14.7
TikTok,22,computer,winter,yes,2.63,8.66
Instagram,24,mobile,fall,no,4.85,9.16
TikTok,15,mobile,winter,no,1.9,1.49
Facebook,27,computer,summer,no,5.99,5.03
Twitter,43,mobile,summer,no,1.69,11.38
YouTube,38,mobile,spring,yes,10.68,3.21
Instagram,22,mobile,winter,no,4.12,4.63
TikTok,12,mobile,winter,yes,0.89,1.67
Twitter,33,mobile,spring,no,3.27,5.38
Instagram,19,mobile,spring,no,7.59,5.48
YouTube,29,computer,spring,no,9.52,16.38
TikTok,23,mobile,summer,yes,1.86,4.91
YouTube,25,computer,winter,no,12.68,11.0
TikTok,24,computer,spring,no,4.96,1.77
TikTok,14,mobile,fall,yes,7.04,15.08
YouTube,31,computer,spring,no,11.72,35.78
Instagram,19,mobile,summer,yes,5.55,6.1
YouTube,24,computer,winter,no,6.77,25.32
Facebook,33,mobile,summer,no,4.17,7.75
Twitter,33,mobile,spring,no,1.12,3.22
TikTok,20,mobile,winter,no,2.53,0.99
TikTok,16,mobile,winter,yes,3.21,7.04
Instagram,30,mobile,winter,no,8.45,13.99
YouTube,47,computer,fall,no,7.7,27.64
TikTok,15,computer,spring,yes,5.93,11.14
TikTok,19,mobile,spring,no,6.24,3.93
Instagram,20,mobile,winter,yes,5.3,6.63
YouTube,29,mobile,spring,yes,14.02,22.05
TikTok,20,computer,winter,yes,0.08,1.83
TikTok,19,mobile,fall,yes,3.44,6.34
Facebook,28,mobile,fall,yes,4.71,15.32
TikTok,13,mobile,summer,yes,3.45,0.9
YouTube,37,mobile,summer,yes,13.78,19.32
Twitter,37,mobile,fall,no,1.48,2.79
Facebook,36,mobile,fall,no,4.28,3.38
TikTok,16,mobile,spring,yes,2.87,6.15
Twitter,38,mobile,summer,no,1.55,3.3
Facebook,32,mobile,fall,no,3.5,5.89
TikTok,14,mobile,winter,no,7.74,6.49
TikTok,20,mobile,fall,no,6.63,15.21
YouTube,10,computer,spring,no,6.01,6.56
Facebook,18,mobile,winter,no,6.75,2.29
YouTube,46,computer,winter,no,6.4,8.79
Facebook,25,mobile,fall,no,6.67,21.25
TikTok,20,mobile,fall,yes,6.66,8.4
Facebook,45,computer,spring,no,5.05,19.58
TikTok,20,mobile,summer,no,4.94,15.8
Facebook,38,mobile,summer,no,5.55,6.91
TikTok,17,mobile,summer,no,7.87,13.8
Facebook,25,mobile,summer,no,3.55,11.82
Instagram,29,mobile,spring,no,3.36,1.68
TikTok,13,mobile,fall,yes,7.35,6.45
TikTok,16,mobile,summer,yes,3.95,7.71
Instagram,35,computer,winter,yes,4.57,5.06
Instagram,24,mobile,fall,no,5.02,10.39
YouTube,25,mobile,fall,no,12.59,11.88
TikTok,17,mobile,summer,yes,0.28,2.71
TikTok,22,mobile,summer,yes,1.55,5.29
TikTok,15,computer,spring,no,2.32,1.94
YouTube,40,computer,spring,no,11.94,40.26
Facebook,18,computer,spring,no,4.85,12.44
YouTube,34,computer,spring,yes,7.41,3.07
YouTube,33,mobile,fall,yes,8.9,41.98
Instagram,29,mobile,summer,no,7.04,11.4
TikTok,11,mobile,fall,yes,2.02,10.2
Instagram,28,mobile,winter,yes,5.93,22.06
Facebook,35,mobile,spring,no,3.71,3.0
Twitter,41,computer,winter,no,1.11,8.07
TikTok,14,computer,spring,yes,5.03,12.18
YouTube,33,computer,fall,yes,14.1,15.42
Facebook,28,computer,winter,no,5.17,7.65
YouTube,23,computer,spring,no,7.17,21.03
YouTube,36,mobile,winter,no,14.78,30.17
YouTube,35,computer,winter,no,14.5,38.22
Facebook,25,computer,winter,no,3.25,4.12
TikTok,16,mobile,winter,yes,0.79,4.12
Facebook,39,mobile,summer,no,6.75,14.19
YouTube,19,computer,spring,yes,7.48,24.04
TikTok,21,mobile,summer,yes,2.23,1.14
YouTube,40,computer,fall,yes,8.57,47.77
TikTok,22,mobile,fall,yes,6.68,27.59
TikTok,16,mobile,fall,yes,2.84,13.62
Facebook,46,mobile,spring,no,2.72,10.81
Instagram,22,computer,winter,no,7.12,10.24
YouTube,30,computer,winter,no,8.09,6.51
Facebook,44,mobile,spring,no,4.91,12.59
Facebook,10,mobile,fall,no,5.36,5.48
YouTube,35,mobile,summer,no,9.61,14.35
Instagram,24,computer,fall,yes,5.71,8.86
Facebook,34,computer,winter,no,2.03,9.2
TikTok,21,mobile,spring,yes,5.09,12.34
YouTube,32,mobile,winter,no,10.98,6.0
Instagram,25,mobile,summer,no,4.29,4.08
Facebook,34,mobile,winter,no,4.22,11.7
YouTube,26,computer,summer,no,11.07,57.7
YouTube,47,mobile,summer,no,10.95,27.23
YouTube,24,computer,spring,yes,13.46,3.59
YouTube,30,computer,fall,no,8.76,19.01
Facebook,33,mobile,winter,no,4.86,4.14
TikTok,17,mobile,summer,no,0.77,2.55
YouTube,45,computer,spring,yes,10.33,10.07
Instagram,25,mobile,fall,yes,7.89,9.6
Instagram,31,mobile,winter,yes,5.55,16.07
TikTok,16,mobile,winter,yes,3.21,3.69
TikTok,17,mobile,spring,no,3.01,5.47
Twitter,29,mobile,fall,no,1.4,19.56
YouTube,23,mobile,winter,yes,11.55,56.3
YouTube,30,mobile,fall,no,13.67,4.87
Instagram,29,mobile,fall,yes,7.79,6.34
TikTok,18,mobile,fall,yes,5.51,5.92
Instagram,28,mobile,fall,no,5.56,12.23
Instagram,29,mobile,fall,yes,6.03,4.14
TikTok,19,mobile,spring,yes,7.91,3.74
Twitter,46,mobile,fall,no,2.94,6.2
YouTube,24,computer,summer,no,5.47,15.89
Facebook,34,mobile,summer,no,5.49,17.59
Twitter,39,mobile,summer,no,2.96,12.59
Instagram,41,mobile,fall,yes,4.98,24.51
YouTube,39,mobile,winter,yes,6.03,5.59
Instagram,21,mobile,fall,no,4.74,22.74
TikTok,17,mobile,spring,yes,0.94,7.49
Instagram,19,mobile,fall,no,8.66,3.06
TikTok,18,mobile,summer,yes,4.64,8.64
TikTok,15,mobile,fall,no,4.23,12.09
YouTube,26,computer,fall,yes,6.52,15.69
Facebook,38,mobile,summer,no,4.32,2.18
YouTube,26,computer,winter,yes,12.54,26.0
Facebook,39,computer,winter,yes,6.07,12.96
Facebook,29,mobile,winter,no,3.47,4.57
TikTok,24,mobile,fall,no,7.63,36.77
YouTube,32,computer,fall,no,10.21,5.17
Facebook,34,computer,summer,no,2.88,3.17
YouTube,25,mobile,winter,no,8.03,7.91
TikTok,18,mobile,winter,yes,7.12,11.89
Facebook,21,mobile,fall,no,2.86,8.47
Facebook,29,computer,spring,no,6.53,13.81
Facebook,27,mobile,summer,no,6.04,9.72
TikTok,17,mobile,winter,yes,1.7,5.86
YouTube,23,computer,winter,no,11.95,48.95
TikTok,17,mobile,fall,no,4.6,2.73
Twitter,39,computer,fall,yes,3.16,10.7
Instagram,37,mobile,winter,no,4.5,3.09
Instagram,32,computer,spring,no,6.47,1.91
TikTok,21,mobile,summer,yes,5.44,17.63
YouTube,34,computer,winter,yes,11.28,19.42
Facebook,44,mobile,winter,no,2.43,8.58
Instagram,22,mobile,fall,no,5.2,2.5
TikTok,20,mobile,winter,no,2.18,5.01
Twitter,32,computer,summer,no,2.57,9.9
TikTok,19,mobile,summer,yes,4.83,10.58
TikTok,17,mobile,spring,yes,6.16,9.81
TikTok,18,mobile,summer,yes,3.3,4.21
TikTok,17,mobile,winter,no,0.47,7.42
Facebook,28,mobile,fall,no,5.36,1.06
Facebook,29,mobile,fall,no,4.8,2.01
Instagram,28,mobile,winter,no,5.87,18.32
Twitter,36,mobile,spring,no,2.39,5.63
Facebook,33,mobile,winter,no,5.98,3.87
Instagram,23,mobile,spring,no,7.96,9.07
YouTube,46,computer,spring,no,10.61,2.01
Facebook,29,mobile,winter,no,5.54,8.97
TikTok,14,mobile,summer,no,1.13,3.58
TikTok,17,mobile,spring,no,0.08,3.5
TikTok,22,mobile,spring,yes,6.59,7.47
YouTube,28,computer,summer,no,7.9,8.19
Facebook,38,computer,fall,no,3.54,6.5
YouTube,35,computer,summer,no,12.87,7.63
Instagram,28,mobile,spring,yes,8.42,16.51
YouTube,21,mobile,winter,yes,13.11,11.91
TikTok,19,computer,spring,yes,7.17,3.53
YouTube,27,mobile,fall,no,13.2,9.14
TikTok,21,mobile,spring,no,1.88,1.82
TikTok,17,mobile,fall,no,7.78,12.4
TikTok,23,mobile,spring,yes,0.87,2.23
YouTube,39,computer,spring,no,13.92,1.15
YouTube,46,mobile,spring,no,10.36,3.1
TikTok,15,mobile,spring,yes,1.49,2.44
YouTube,29,mobile,spring,no,6.27,8.93
YouTube,34,computer,winter,no,14.41,19.14
Twitter,28,mobile,spring,no,1.07,8.95
YouTube,36,computer,fall,yes,13.91,13.38
Instagram,32,mobile,winter,no,5.79,16.65
TikTok,18,mobile,spring,no,6.62,11.62
TikTok,19,mobile,summer,no,3.08,8.75
YouTube,31,computer,spring,no,8.47,22.24
Instagram,34,mobile,fall,no,6.21,14.74
YouTube,40,mobile,winter,no,6.79,34.43
Twitter,37,mobile,summer,yes,3.4,2.92
YouTube,22,computer,winter,no,7.51,3.51
Instagram,20,mobile,fall,yes,3.15,11.01
Instagram,21,mobile,spring,no,5.55,3.13
Instagram,20,computer,winter,no,7.35,20.21
Instagram,32,mobile,spring,no,3.48,34.94
Instagram,33,mobile,winter,no,8.5,3.33
TikTok,18,mobile,fall,yes,2.71,2.28
Instagram,20,mobile,fall,no,8.18,28.77
Twitter,32,computer,winter,no,2.21,16.18
TikTok,19,mobile,winter,yes,6.53,9.2
Instagram,30,mobile,winter,no,3.25,5.57
YouTube,34,computer,spring,no,7.43,23.13
YouTube,24,computer,winter,no,9.73,6.5
YouTube,28,mobile,winter,yes,10.52,40.85
TikTok,20,mobile,winter,no,6.69,18.09
TikTok,20,mobile,winter,yes,7.77,15.2
YouTube,37,computer,fall,no,7.49,1.92
YouTube,30,computer,summer,yes,13.32,29.23
TikTok,13,mobile,summer,no,1.73,1.56
TikTok,20,mobile,fall,no,3.43,29.36
TikTok,9,mobile,summer,yes,3.21,10.59
TikTok,22,computer,spring,no,3.65,4.52
YouTube,25,computer,winter,yes,5.94,6.9
YouTube,30,mobile,winter,no,7.02,38.42
Instagram,22,mobile,summer,yes,8.84,22.9
